,productname,prices,Description,Reviews
142,"realme 16 Pro+ 5G (Camellia Pink, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.8
143,"realme 16 Pro+ 5G (Master Grey, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.8
144,"realme 16 Pro+ 5G (Master Grey, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.8
145,"realme 16 Pro+ 5G (Camellia Pink, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.8
146,"Samsung Galaxy A36 5G (Awesome White, 128 GB)","₹32,499",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
147,"OPPO F31 Pro 5G (Desert Gold, 256 GB)","₹31,999",12 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 2MP | 32MP Front Camera7000 mAh BatteryDimensity 7300 Processor1 Year brand warranty,4.2
148,"Samsung Galaxy M56 5G (Black, 128 GB)","₹30,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 12MP + 2MP Dual Front Camera5000 mAh BatteryOCTACORE Processorone-year warranty covering the device itself,4.4
149,"Samsung Galaxy A56 5G (Awesome Graphite, 256 GB)","₹42,990",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatteryExynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
150,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)","₹99,989",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
151,"Mi 10T (Cosmic Black, 128 GB)","₹35,999",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,4.2
